"Plot Title: 10998654"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)","Coupler Detached (LGR S/N: 10998654)","End Of File (LGR S/N: 10998654)"
414,02/10/17 06:14:11 PM,83.399,5.0,,
415,02/10/17 07:14:11 PM,83.043,0.0,,
416,02/10/17 08:14:11 PM,83.043,0.0,,
417,02/10/17 09:14:11 PM,83.043,0.0,,
418,02/10/17 10:14:11 PM,83.043,0.0,,
419,02/10/17 11:14:11 PM,83.043,0.0,,
420,02/11/17 12:14:11 AM,83.043,0.0,,
421,02/11/17 01:14:11 AM,83.043,0.0,,
422,02/11/17 02:14:11 AM,83.221,0.0,,
423,02/11/17 03:14:11 AM,83.043,0.0,,
424,02/11/17 04:14:11 AM,83.043,0.0,,
425,02/11/17 05:14:11 AM,83.043,0.0,,
426,02/11/17 06:14:11 AM,83.043,0.0,,
427,02/11/17 07:14:11 AM,82.864,42.0,,
428,02/11/17 08:14:11 AM,83.043,116.0,,
429,02/11/17 09:14:11 AM,83.043,224.0,,
430,02/11/17 10:14:11 AM,83.221,352.0,,
431,02/11/17 11:14:11 AM,83.221,448.0,,
432,02/11/17 12:14:11 PM,83.221,464.0,,
433,02/11/17 01:14:11 PM,83.221,368.0,,
434,02/11/17 02:14:11 PM,83.579,368.0,,
435,02/11/17 03:14:11 PM,83.579,256.0,,
436,02/11/17 04:14:11 PM,83.579,192.0,,
437,02/11/17 05:14:11 PM,83.579,75.0,,
438,02/11/17 06:14:11 PM,83.579,5.0,,
439,02/11/17 07:14:11 PM,83.399,0.0,,
440,02/11/17 08:14:11 PM,83.221,0.0,,
441,02/11/17 09:14:11 PM,83.221,0.0,,
442,02/11/17 10:14:11 PM,83.221,0.0,,
443,02/11/17 11:14:11 PM,83.221,0.0,,
444,02/12/17 12:14:11 AM,83.221,0.0,,
445,02/12/17 01:14:11 AM,82.864,0.0,,
446,02/12/17 02:14:11 AM,82.864,0.0,,
447,02/12/17 03:14:11 AM,82.864,0.0,,
448,02/12/17 04:14:11 AM,82.864,0.0,,
449,02/12/17 05:14:11 AM,82.864,0.0,,
450,02/12/17 06:14:11 AM,82.864,0.0,,
451,02/12/17 07:14:11 AM,82.686,21.0,,
452,02/12/17 08:14:11 AM,82.686,86.0,,
453,02/12/17 09:14:11 AM,82.686,176.0,,
454,02/12/17 10:14:11 AM,82.864,272.0,,
455,02/12/17 11:14:11 AM,82.864,320.0,,
456,02/12/17 12:14:11 PM,82.864,304.0,,
457,02/12/17 01:14:11 PM,83.221,352.0,,
458,02/12/17 02:14:11 PM,83.579,496.0,,
459,02/12/17 03:14:11 PM,83.579,368.0,,
460,02/12/17 04:14:11 PM,83.399,160.0,,
461,02/12/17 05:14:11 PM,83.221,71.0,,
462,02/12/17 06:14:11 PM,83.043,6.0,,
463,02/12/17 07:14:11 PM,82.864,0.0,,
464,02/12/17 08:14:11 PM,82.864,0.0,,
465,02/12/17 09:14:11 PM,82.686,0.0,,
466,02/12/17 10:14:11 PM,82.508,0.0,,
467,02/12/17 11:14:11 PM,82.508,0.0,,
468,02/13/17 12:14:11 AM,82.330,0.0,,
469,02/13/17 01:14:11 AM,82.508,0.0,,
470,02/13/17 02:14:11 AM,82.508,0.0,,
471,02/13/17 03:14:11 AM,82.686,0.0,,
472,02/13/17 04:14:11 AM,82.864,0.0,,
473,02/13/17 05:14:11 AM,82.864,0.0,,
474,02/13/17 06:14:11 AM,82.864,0.0,,
475,02/13/17 07:14:11 AM,82.508,46.0,,
476,02/13/17 08:14:11 AM,82.508,144.0,,
477,02/13/17 09:14:11 AM,82.508,288.0,,
478,02/13/17 10:14:11 AM,82.686,400.0,,
479,02/13/17 11:14:11 AM,82.508,384.0,,
480,02/13/17 12:14:11 PM,82.330,288.0,,
481,02/13/17 01:14:11 PM,82.508,320.0,,
482,02/13/17 02:14:11 PM,83.579,576.0,,
